"Country or Area","Sex","Age","Occupation"
"Aruba","Male","35 - 39","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Aruba","Male","35 - 39","Elementary occupations (ISCO 88 - 9)"
"Aruba","Male","35 - 39","Unknown"
"Aruba","Male","35 - 39","Total (ISCO 88)"
"Aruba","Male","40 - 44","Armed forces (ISCO 88 - 0)"
"Aruba","Male","40 - 44","Legislators, senior officials and managers (ISCO 88 - 1)"
"Aruba","Male","40 - 44","Professionals (ISCO 88 - 2)"
"Aruba","Male","40 - 44","Technicians and associate professionals (ISCO 88 - 3)"
"Aruba","Male","40 - 44","Clerks (ISCO 88 - 4)"
"Aruba","Male","40 - 44","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Aruba","Male","40 - 44","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Aruba","Male","40 - 44","Craft and related trades workers (ISCO 88 - 7)"
"Aruba","Male","40 - 44","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Aruba","Male","40 - 44","Elementary occupations (ISCO 88 - 9)"
"Aruba","Male","40 - 44","Unknown"
"Aruba","Male","40 - 44","Total (ISCO 88)"
"Aruba","Male","45 - 49","Armed forces (ISCO 88 - 0)"
"Aruba","Male","45 - 49","Legislators, senior officials and managers (ISCO 88 - 1)"
"Aruba","Male","45 - 49","Professionals (ISCO 88 - 2)"
"Aruba","Male","45 - 49","Technicians and associate professionals (ISCO 88 - 3)"
"Aruba","Male","45 - 49","Clerks (ISCO 88 - 4)"
"Aruba","Male","45 - 49","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Aruba","Male","45 - 49","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Aruba","Male","45 - 49","Craft and related trades workers (ISCO 88 - 7)"
"Aruba","Male","45 - 49","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Aruba","Male","45 - 49","Elementary occupations (ISCO 88 - 9)"
"Aruba","Male","45 - 49","Unknown"
"Aruba","Male","45 - 49","Total (ISCO 88)"
"Aruba","Male","50 - 54","Armed forces (ISCO 88 - 0)"
"Aruba","Male","50 - 54","Legislators, senior officials and managers (ISCO 88 - 1)"
"Aruba","Male","50 - 54","Professionals (ISCO 88 - 2)"
"Aruba","Male","50 - 54","Technicians and associate professionals (ISCO 88 - 3)"
"Aruba","Male","50 - 54","Clerks (ISCO 88 - 4)"
"Aruba","Male","50 - 54","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Aruba","Male","50 - 54","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Aruba","Male","50 - 54","Craft and related trades workers (ISCO 88 - 7)"
"Aruba","Male","50 - 54","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Aruba","Male","50 - 54","Elementary occupations (ISCO 88 - 9)"
"Aruba","Male","50 - 54","Unknown"
"Aruba","Male","50 - 54","Total (ISCO 88)"
"Aruba","Male","55 - 59","Armed forces (ISCO 88 - 0)"
"Aruba","Male","55 - 59","Legislators, senior officials and managers (ISCO 88 - 1)"
"Aruba","Male","55 - 59","Professionals (ISCO 88 - 2)"
"Aruba","Male","55 - 59","Technicians and associate professionals (ISCO 88 - 3)"
"Aruba","Male","55 - 59","Clerks (ISCO 88 - 4)"
"Aruba","Male","55 - 59","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Aruba","Male","55 - 59","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Aruba","Male","55 - 59","Craft and related trades workers (ISCO 88 - 7)"
"Aruba","Male","55 - 59","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Aruba","Male","55 - 59","Elementary occupations (ISCO 88 - 9)"
"Aruba","Male","55 - 59","Unknown"
"Aruba","Male","55 - 59","Total (ISCO 88)"
"Aruba","Male","60 - 64","Armed forces (ISCO 88 - 0)"
"Aruba","Male","60 - 64","Legislators, senior officials and managers (ISCO 88 - 1)"
"Aruba","Male","60 - 64","Professionals (ISCO 88 - 2)"
"Aruba","Male","60 - 64","Technicians and associate professionals (ISCO 88 - 3)"
"Aruba","Male","60 - 64","Clerks (ISCO 88 - 4)"
"Aruba","Male","60 - 64","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Aruba","Male","60 - 64","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Aruba","Male","60 - 64","Craft and related trades workers (ISCO 88 - 7)"
"Aruba","Male","60 - 64","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Aruba","Male","60 - 64","Elementary occupations (ISCO 88 - 9)"
"Aruba","Male","60 - 64","Unknown"
"Aruba","Male","60 - 64","Total (ISCO 88)"
"Aruba","Male","65 +","Armed forces (ISCO 88 - 0)"
"Aruba","Male","65 +","Legislators, senior officials and managers (ISCO 88 - 1)"
"Aruba","Male","65 +","Professionals (ISCO 88 - 2)"
"Aruba","Male","65 +","Technicians and associate professionals (ISCO 88 - 3)"
"Aruba","Male","65 +","Clerks (ISCO 88 - 4)"
"Aruba","Male","65 +","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Aruba","Male","65 +","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Aruba","Male","65 +","Craft and related trades workers (ISCO 88 - 7)"
"Aruba","Male","65 +","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Aruba","Male","65 +","Elementary occupations (ISCO 88 - 9)"
"Aruba","Male","65 +","Unknown"
"Aruba","Male","65 +","Total (ISCO 88)"
"Aruba","Female","14","Armed forces (ISCO 88 - 0)"
"Aruba","Female","14","Legislators, senior officials and managers (ISCO 88 - 1)"
"Aruba","Female","14","Professionals (ISCO 88 - 2)"
"Aruba","Female","14","Technicians and associate professionals (ISCO 88 - 3)"
"Aruba","Female","14","Clerks (ISCO 88 - 4)"
"Aruba","Female","14","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Aruba","Female","14","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Aruba","Female","14","Craft and related trades workers (ISCO 88 - 7)"
"Aruba","Female","14","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Aruba","Female","14","Elementary occupations (ISCO 88 - 9)"
"Aruba","Female","14","Unknown"
"Aruba","Female","14","Total (ISCO 88)"
"Aruba","Female","14 +","Armed forces (ISCO 88 - 0)"
"Aruba","Female","14 +","Legislators, senior officials and managers (ISCO 88 - 1)"
"Aruba","Female","14 +","Professionals (ISCO 88 - 2)"
"Aruba","Female","14 +","Technicians and associate professionals (ISCO 88 - 3)"
"Aruba","Female","14 +","Clerks (ISCO 88 - 4)"
"Aruba","Female","14 +","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Aruba","Female","14 +","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Aruba","Female","14 +","Craft and related trades workers (ISCO 88 - 7)"
"Aruba","Female","14 +","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Aruba","Female","14 +","Elementary occupations (ISCO 88 - 9)"
"Aruba","Female","14 +","Unknown"
"Aruba","Female","14 +","Total (ISCO 88)"
"Aruba","Female","15 - 19","Armed forces (ISCO 88 - 0)"
"Aruba","Female","15 - 19","Legislators, senior officials and managers (ISCO 88 - 1)"
"Aruba","Female","15 - 19","Professionals (ISCO 88 - 2)"
"Aruba","Female","15 - 19","Technicians and associate professionals (ISCO 88 - 3)"
"Aruba","Female","15 - 19","Clerks (ISCO 88 - 4)"
"Aruba","Female","15 - 19","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Aruba","Female","15 - 19","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Aruba","Female","15 - 19","Craft and related trades workers (ISCO 88 - 7)"
"Aruba","Female","15 - 19","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Aruba","Female","15 - 19","Elementary occupations (ISCO 88 - 9)"
"Aruba","Female","15 - 19","Unknown"
"Aruba","Female","15 - 19","Total (ISCO 88)"
"Aruba","Female","20 - 24","Armed forces (ISCO 88 - 0)"
"Aruba","Female","20 - 24","Legislators, senior officials and managers (ISCO 88 - 1)"
"Aruba","Female","20 - 24","Professionals (ISCO 88 - 2)"
"Aruba","Female","20 - 24","Technicians and associate professionals (ISCO 88 - 3)"
"Aruba","Female","20 - 24","Clerks (ISCO 88 - 4)"
"Aruba","Female","20 - 24","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Aruba","Female","20 - 24","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Aruba","Female","20 - 24","Craft and related trades workers (ISCO 88 - 7)"
"Aruba","Female","20 - 24","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Aruba","Female","20 - 24","Elementary occupations (ISCO 88 - 9)"
"Aruba","Female","20 - 24","Unknown"
"Aruba","Female","20 - 24","Total (ISCO 88)"
"Aruba","Female","25 - 29","Armed forces (ISCO 88 - 0)"
"Aruba","Female","25 - 29","Legislators, senior officials and managers (ISCO 88 - 1)"
"Aruba","Female","25 - 29","Professionals (ISCO 88 - 2)"
"Aruba","Female","25 - 29","Technicians and associate professionals (ISCO 88 - 3)"
"Aruba","Female","25 - 29","Clerks (ISCO 88 - 4)"
"Aruba","Female","25 - 29","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Aruba","Female","25 - 29","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Aruba","Female","25 - 29","Craft and related trades workers (ISCO 88 - 7)"
"Aruba","Female","25 - 29","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Aruba","Female","25 - 29","Elementary occupations (ISCO 88 - 9)"
"Aruba","Female","25 - 29","Unknown"
"Aruba","Female","25 - 29","Total (ISCO 88)"
"Aruba","Female","30 - 34","Armed forces (ISCO 88 - 0)"
"Aruba","Female","30 - 34","Legislators, senior officials and managers (ISCO 88 - 1)"
"Aruba","Female","30 - 34","Professionals (ISCO 88 - 2)"
"Aruba","Female","30 - 34","Technicians and associate professionals (ISCO 88 - 3)"
"Aruba","Female","30 - 34","Clerks (ISCO 88 - 4)"
"Aruba","Female","30 - 34","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Aruba","Female","30 - 34","Skilled agricultural and fishery workers (ISCO 88 - 6)"
